編號,屬性,機構名稱,區域別,地址,電話,收容對象,核定總床位數量,長照床位數量,養護床位數量,失智床位數量,安養床位數量
29,私立,臺北市私立法泉老人長期照顧中心(養護型),中山區,臺北市中山區朱崙里012鄰八德路2段251號2樓,(02)87731706,養護,39,0,39,0,0
30,私立,臺北市私立龍江老人長期照顧中心(養護型),中山區,臺北市中山區力行里007鄰長安東路1段63號4樓,(02)25672208,養護,37,0,37,0,0
31,私立,臺北市私立仁群老人長期照顧中心(養護型),中山區,臺北市中山區下埤里019鄰民族東路512巷14號1-2樓、16號2樓,(02)25013369,養護,48,0,48,0,0
32,私立,臺北市私立群仁老人長期照顧中心(養護型),中山區,臺北市中山區下埤里019鄰民族東路512巷14號3-5樓,(02)25010048,養護,42,0,42,0,0
33,私立,臺北市私立福成老人長期照顧中心(養護型),中山區,臺北市中山區新福里004鄰松江路374、380、382號4樓,(02)25982507,養護,29,0,29,0,0
34,私立,臺北市私立福喜老人長期照顧中心(養護型),中山區,臺北市中山區松江路374、380、382號7樓,(02)25919087,養護,29,0,29,0,0
35,私立,臺北市私立仁泰老人長期照顧中心(養護型),中正區,臺北市中正區三愛里001鄰連雲街3號1、3樓、3之4號及三愛里001鄰新生南路1段124之3號5樓,(02)33931662,養護,31,0,31,0,0
36,私立,臺北市私立博愛老人長期照顧中心(養護型),中正區,臺北市中正區富水里001鄰汀州路3段56號2樓,(02)23671050,養護,41,0,41,0,0
37,私立,臺北市私立大園老人長期照顧中心(養護型),中正區,臺北市中正區三愛里001鄰新生南路1段124之3號1-4樓,(02)33931661,養護,34,0,34,0,0
38,私立,臺北市私立銀髮族老人養護所,內湖區,臺北市內湖區成功路2段488號2-5樓、490號2樓、4樓,(02)27926006,養護,46,0,46,0,0
39,私立,臺北市私立童音老人長期照顧中心(養護型),內湖區,臺北市內湖區葫洲里004鄰民權東路6段280巷19弄1、3、5、7號1樓,(02)26345131,養護、長照,37,5,32,0,0
40,私立,臺北市私立湖濱老人長期照顧中心(養護型),內湖區,臺北市內湖區湖濱里010鄰內湖路2段179巷58、60號1樓,(02)27933081,養護,18,0,18,0,0
41,私立,臺北市私立瑞安老人長期照顧中(養護型),內湖區,臺北市內湖區紫陽里002鄰成功路3段88、90、92號2樓、76巷9號2樓,(02)27925292,養護,33,0,33,0,0
42,私立,臺北市私立祥家老人養護所,內湖區,臺北市內湖區湖濱里026鄰內湖路2段253巷1弄1、3號1-2樓,(02)27922281,養護,46,0,46,0,0
43,私立,臺北市私立文德老人長期照顧中心(養護型),內湖區,臺北市內湖區紫陽里011鄰陽光街70-2、70-3、72、72-1號1樓,(02)26581303,養護,31,0,31,0,0
44,公立,臺北市政府社會局老人自費安養中心,文山區,臺北市文山區忠順里009鄰興隆路4段109巷30弄6號,(02)29393146,安養,366,0,0,0,366
45,私立,臺北市私立景安老人長期照顧中心(養護型),文山區,臺北市文山區景慶里001鄰溪口街1巷5號1-2樓,(02)29325698,養護,41,0,41,0,0
46,私立,臺北市私立心慈老人養護所,文山區,臺北市文山區興業里022鄰辛亥路5段120-1號1-4樓,(02)29314730,養護,22,0,22,0,0
47,私立,臺北市私立慧誠老人長期照顧中心(養護型),文山區,臺北市文山區木柵里025鄰木柵路2段163、165號1-5樓,(02)29392222,養護,48,0,48,0,0
48,私立,臺北市私立蓮馨老人長期照顧中心(養護型),文山區,臺北市文山區萬和街6號8樓,(02)82300373,養護,29,0,29,0,0
49,私立,臺北市私立慈安老人長期照顧中心(養護型),文山區,臺北市文山區萬有里001鄰興隆路1段2、4號1~4樓,(02)29337745,養護,47,0,47,0,0
50,私立,臺北市私立美安老人長期照顧中心(養護型),文山區,臺北市文山區景慶里001鄰溪口街1巷5號3-4樓,(02)29316388,養護,45,0,45,0,0
51,私立,臺北市私立景興老人長期照顧中心(養護型),文山區,臺北市文山區景行里021鄰景興路222號3樓,(02)29349412,養護,38,0,38,0,0
52,私立,臺北市私立三園老人長期照顧中心(養護型),文山區,臺北市文山區景行里002鄰車前路12號3-4樓,(02)29321147,養護,48,0,48,0,0
53,私立,臺北市私立吉祥老人長期照顧中心(養護型),文山區,臺北市文山區木柵里004鄰木柵路3段85巷8弄4-1、4-2號1樓及2、2-1、2-2、4、4-1、4-2號2樓,(02)22343511,養護,43,0,43,0,0
54,公設民營,臺北市文山老人養護中心,文山區,臺北市文山區興豐里016鄰興隆路2段95巷8號3-6樓,(02)89313190,"養護  
",46,0,46,0,0
55,公設民營,臺北市兆如老人安養護中心,文山區,臺北市文山區政大里005鄰政大二街129號,(02)86616365,"安養、養護、長照
",453,132,132,0,189
56,私立,臺北市私立慧華老人長期照顧中心(養護型),文山區,臺北市文山區興隆路2段154巷11號1樓,(02)29356272,養護,30,0,30,0,0
57,私立,臺北市私立萬芳老人長期照顧中心(養護型),文山區,臺北市文山區萬和街8號3樓,(02)22303000,養護,48,0,48,0,0
58,私立,臺北市私立尊暉老人長期照顧中心(養護型),北投區,臺北市北投區石牌路2段343巷17號1-2樓,(02)28761997,養護,26,0,26,0,0
59,私立,臺北市私立賢暉老人長期照顧中心(養護型),北投區,臺北市北投區石牌路2段315巷34弄14、16號1樓,(02)28710770,養護,18,0,18,0,0
60,私立,臺北市私立高德老人長期照顧中心(養護型),北投區,臺北市北投區磺港路156號1-3樓,(02)28982418,養護,45,0,45,0,0
61,私立,臺北市私立陽明山老人長期照顧中心(養護型),北投區,臺北市北投區湖山里006鄰紗帽路116號,(02)28615006,養護,36,0,36,0,0
62,私立,臺北市私立全家老人長期照顧中心(養護型),北投區,臺北市北投區永和里007鄰行義路96巷1號1-2樓,(02)28761692,養護,29,0,29,0,0
63,私立,臺北市私立倚青園老人長期照顧中心(養護型),北投區,臺北市北投區永明里008鄰義理街63巷4弄7、11之1-3號1樓,(02)28283533,養護,31,0,31,0,0
64,私立,臺北市私立榮健老人長期照顧中心(養護型),北投區,臺北市北投區建民里016鄰文林北路94巷5弄13號1-2樓、15號2樓,(02)28216113,養護,46,0,46,0,0
65,私立,臺北市私立全寶老人長期照顧中心(養護型),北投區,臺北市北投區永欣里014鄰石牌路2段315巷16弄2、2-1號1樓,(02)28710793,養護,24,0,24,0,0
66,私立,臺北市私立義行老人長期照顧中心(養護型),北投區,臺北市北投區永和里001鄰石牌路2段357巷1號4-6樓,(02)28767880,養護,49,0,49,0,0
67,私立,臺北市私立建民老人長期照顧中心(養護型),北投區,臺北市北投區文林里019鄰建民路22、24、26、26之1號1樓,(02)28250799,養護,34,0,34,0,0
68,私立,臺北市私立榮祥老人長期照顧中心(養護型),北投區,臺北市北投區文林里019鄰文林北路166巷5弄2號1-2樓、4號1樓,(02)28213709,養護,34,0,34,0,0
69,私立,臺北市私立北投老人長期照顧中心(養護型),北投區,臺北市北投區公館路231巷20號1樓,(02)28937412,養護,17,0,17,0,0
70,私立,臺北市私立全泰老人長期照顧中心(養護型),北投區,臺北市北投區永和里006鄰行義路105號1-2樓,(02)28747739,養護,41,0,41,0,0
71,私立,臺北市私立崇順老人養護所,北投區,臺北市北投區關渡里013鄰知行路52巷1號、54號1-2樓,(02)28581979,養護,27,0,27,0,0
72,私立,臺北市私立聖心老人養護所,北投區,臺北市北投區稻香路321號1樓,(02)28913890,養護,18,0,18,0,0
73,私立,臺北市私立精英國際老人長期照顧中心(養護型),北投區,臺北市北投區關渡里003鄰關渡路60、62之1號1樓,(02)28582701,養護,26,0,26,0,0
74,私立,臺北市私立怡靜老人長期照顧中心(養護型),北投區,臺北市北投區吉利里002鄰致遠二路96巷3弄1、3號1樓,(02)28200437,養護,23,0,23,0,0
75,私立,臺北市私立貴族老人長期照顧中心(養護型),北投區,臺北市北投區大同里013鄰大業路452巷2號2-5樓,(02)28965555,養護,42,0,42,0,0
76,私立,臺北市私立行義老人長期照顧中心(養護型),北投區,臺北市北投區永和里001鄰石牌路2段357巷1號1-3樓,(02)28729599,養護,49,0,49,0,0
77,私立,臺北市私立豪門老人長期照顧中心(養護型),北投區,臺北市北投區大同里013鄰大業路452巷2號6-9樓,(02)28954492,養護,42,0,42,0,0
78,私立,臺北市私立奇里岸老人長期照顧中心(養護型),北投區,臺北市北投區立農里013鄰西安街2段245號1-2樓,(02)28275139,養護,36,0,36,0,0
79,私立,財團法人台灣基督教道生院附設臺北市私立道生院老人長期照顧中心(養護型),北投區,臺北市北投區秀山里002鄰中和街錫安巷112號1-2樓及地下1樓,(02)28936161,養護,88,0,88,0,0
80,公立,臺北市立浩然敬老院,北投區,臺北市北投區關渡里016鄰知行路75號,(02)28581081,安養、養護,400,0,175,0,225
81,私立,臺北市私立同德老人長期照顧中心(養護型),北投區,臺北市北投區榮華里004鄰明德路306號1-7樓,(02)28281328,養護,41,0,41,0,0
82,私立,臺北市私立群英老人長期照顧中心(養護型),松山區,臺北市松山區仁愛里013鄰敦化南路1段7號4樓,(02)25791400,養護,24,0,24,0,0
83,私立,臺北市私立台大老人長期照顧中心(養護型),松山區,臺北市松山區仁愛里013鄰敦化南路1段7號4樓之1,(02)25792816,養護,24,0,24,0,0
84,私立,臺北市私立仁仁老人長期照顧中心(養護型),松山區,臺北市松山區新聚里003鄰南京東路5段356號2樓,(02)27659900,養護,34,0,34,0,0
85,私立,臺北市私立康壯老人長期照顧中心(養護型),松山區,臺北市松山區吉祥里001鄰八德路4段203、205號1、2樓,(02)27686697,養護,49,0,49,0,0
86,私立,臺北市私立倚青苑老人養護所,信義區,臺北市信義區永春里002鄰中坡北路21號1-2樓、23號2樓,(02)27477232,養護,28,0,28,0,0
87,私立,臺北市私立康庭老人養護所,信義區,臺北市信義區安康里017鄰信義路6段15巷16號1樓,(02)23460684,養護,29,0,29,0,0
88,私立,臺北市私立福安老人長期照顧中心(養護型),南港區,臺北市南港區萬福里007鄰玉成街140巷21、23號2樓,(02)27850584,養護,20,0,20,0,0
89,私立,臺北市私立葉媽媽老人長期照顧中心(養護型),萬華區,臺北市萬華區錦德里012鄰西園路2段243之13號1-4樓,(02)23329986,養護,30,0,30,0,0
90,私立,財團法人天主教失智老人社會福利基金會附設臺北市私立聖若瑟失智老人養護中心,萬華區,臺北市萬華區保德里001鄰德昌街125巷11號1-4樓、13號1樓,(02)23046715,失智,62,0,0,62,0
91,私立,臺北市私立葉爸爸老人長期照顧中心(養護型),萬華區,臺北市萬華區錦德里012鄰西園路2段243之14號1-4樓,(02)23329985,養護,31,0,31,0,0
92,私立,臺北市私立中山老人長期照顧中心(養護型),萬華區,臺北市萬華區菜園里001鄰峨眉街124號、124之1號1樓,(02)23759590,養護,26,0,26,0,0
93,私立,財團法人臺北市私立愛愛院,萬華區,臺北市萬華區糖廍里006鄰大理街175巷27號,(02)23060493,養護,238,0,238,0,0
94,私立,臺北市私立軒儀老人長期照顧中心(養護型),萬華區,臺北市萬華區華江里028鄰和平西路3段384號1樓,(02)23088661,養護,47,0,47,0,0
