no,title,county,countycode,town,areacode,address,person_in_charge,tel,bed_for_caring,bed_for_nursing,bed_for_longterm,bed_for_azh
60,新北市私立中原老人長期照顧中心(養護型),新北市,65000,中和區,65000030,中山路2段560號6樓、6樓之1,黃明發,(02)22261881,42,0,0,0
61,新北市私立一德老人長期照顧中心(養護型),新北市,65000,中和區,65000030,中山路2段560號7樓,鍾昭明,(02)22286655,42,0,0,0
62,新北市私立皇佳老人長期照顧中心(養護型),新北市,65000,中和區,65000030,中山路2段562號10樓,黃伯超,(02)22286187,42,0,0,0
63,新北市私立怡安老人長期照顧中心(養護型),新北市,65000,中和區,65000030,中正路770號5樓,梁惠倫,(02)82213542,47,0,0,0
64,新北市私立怡和老人長期照顧中心(養護型),新北市,65000,中和區,65000030,中正路772號5樓,梁惠倫,(02)82213540,47,0,0,0
65,新北市私立慈和老人長期照顧中心(養護型),新北市,65000,中和區,65000030,中正路909號2樓,宋燕凌,(02)22212393,32,0,0,0
66,新北市私立慈安老人長期照顧中心(養護型),新北市,65000,中和區,65000030,中正路909號3樓,宋王素娥,(02)22212393,32,0,0,0
67,新北市私立慈鴻老人長期照顧中心(養護型),新北市,65000,中和區,65000030,中正路909號4樓,宋燕凌,(02)22588868,32,0,0,0
68,新北市私立双慈老人長期照顧中心(養護型),新北市,65000,中和區,65000030,中正路909號5樓,吳佳鈴,(02)82286093,36,0,0,0
69,新北市私立禾藝老人長期照顧中心(養護型),新北市,65000,中和區,65000030,中正路909號7樓,林瑞明,(02)22226268,32,0,0,0
70,新北市私立連城老人長期照顧中心(養護型),新北市,65000,中和區,65000030,板南路335號4樓、337號4樓,羅至宏,(02)22479996,48,0,0,0
71,新北市私立美馨老人長期照顧中心(養護型),新北市,65000,中和區,65000030,板南路337號5樓,周素蓮,(02)22451915,28,0,0,0
72,新北市私立瑞祥老人長期照顧中心(養護型),新北市,65000,中和區,65000030,建一路87號3樓,李倩穎,(02)22287623,43,0,0,0
73,新北市私立永順老人養護中心,新北市,65000,中和區,65000030,建康路2號5樓、2之2號5樓,蘇旭志,(02)32340828,47,0,0,0
74,新北市私立展欣老人長期照顧中心(養護型),新北市,65000,中和區,65000030,員山路506號2樓,朱台玉,(02)22267373,41,0,0,0
75,新北市私立享居老人長期照顧中心(養護型),新北市,65000,中和區,65000030,員山路506號6樓,謝叔純,(02)22250966,46,0,0,0
76,新北市私立仁安老人長期照顧中心(養護型),新北市,65000,中和區,65000030,連城路164號2樓,廖貞婷,(02)22481617,37,0,0,0
77,新北市私立仁和老人長期照顧中心(養護型),新北市,65000,中和區,65000030,連城路164號4樓、164之2號4樓,廖茂良,(02)22481607,40,0,0,0
79,新北市私立宜安老人長期照顧中心(養護型),新北市,65000,中和區,65000030,景安路48號7樓,黃明發,(02)22489647,47,0,0,0
80,新北市私立御林園老人長期照顧中心(養護型),新北市,65000,中和區,65000030,圓通路367巷33弄6號,儲明哲,(02)22492772,19,0,0,0
81,新北市私立中山老人長期照顧中心(養護型),新北市,65000,中和區,65000030,橋安街6號2、3樓,朱立忠,(02)22438323,24,0,0,0
82,新北市私立五股愛心老人長期照顧中心(養護型),新北市,65000,五股區,65000150,成泰路2段5號、5號2樓、5號3樓、5號4樓、7號2樓、7號3樓、7號4樓、9號2樓、9號3樓、9號4樓,余素欣,(02)22936066,48,0,0,0
83,新北市私立再芳老人長期照顧中心(養護型),新北市,65000,五股區,65000150,成泰路4段10號3樓之2,陳丁福,(02)22923158,39,0,0,0
84,新北市私立明泰老人長期照顧中心(養護型),新北市,65000,五股區,65000150,成泰路4段10號3樓之3,石明瑋,(02)22930992,35,0,0,0
85,新北市私立松永老人長期照顧中心(養護型),新北市,65000,永和區,65000040,中正路455號8樓、8樓之1、8樓之2、8樓之3、8樓之4、8樓之5、8樓之6,李秋龍,(02)29237197,47,0,0,0
86,新北市私立寶貝爹娘老人長期照顧中心(養護型),新北市,65000,永和區,65000040,中正路588號4樓,陳建瑞,(02)29230306,45,0,0,0
87,新北市私立宏德老人長期照顧中心(養護型),新北市,65000,永和區,65000040,永平路81巷2號(2層)、4號(2層)、12號2樓(2層),魏嘉源,(02)29231336,47,0,0,0
88,新北市私立育昇老人長期照顧中心(養護型),新北市,65000,永和區,65000040,永和路1段57號（5至8層）,張吉雄,(02)29261199,49,0,0,0
89,新北市私立永恩老人長期照顧中心(養護型),新北市,65000,永和區,65000040,永和路2段209號4樓,陳建忠,(02)29283862,48,0,0,0
90,新北市私立永康老人長期照顧中心(養護型),新北市,65000,永和區,65000040,永和路2段209號5樓,郭仕慧,(02)29283862,48,0,0,0
91,新北市私立寶安老人長期照顧心(養護型),新北市,65000,永和區,65000040,竹林路73號2樓、3樓,張靜如,(02)89281517,47,0,0,0
92,新北市私立福和老人長期照顧中心(養護型),新北市,65000,永和區,65000040,福和路160號2樓,劉景文,(02)89277187,19,0,0,0
93,財團法人臺北市私立恆安老人長期照顧中心附設新北市私立大同老人長期照顧中心(養護),新北市,65000,汐止區,65000110,大同路3段425號3樓、4樓,胡世賢,(02)86489888,196,0,0,0
94,財團法人中華文化社會福利事業基金會附設新北市私立翠柏新村老人安養中心,新北市,65000,汐止區,65000110,永春一路5號,張正中,(02)26451001,120,71,0,0
95,新北市私立德馨老人長期照顧中心(養護型),新北市,65000,汐止區,65000110,和平街8號5樓,郭秀琴,(02)26471288,49,0,0,0
96,新北市私立健銓老人長期照顧中心(養護型),新北市,65000,汐止區,65000110,和平街8號四樓,郭維銓,(02)26422467,40,0,0,0
97,新北市私立祥恩老人養護中心,新北市,65000,汐止區,65000110,青山路15號1樓-3樓,王裕明,(02)86424959,39,0,0,0
98,新北市私立祥和老人養護中心,新北市,65000,汐止區,65000110,青山路15號4樓、4樓之1、5樓,鄭裕聰,(02)26499691,33,0,0,0
99,新北市私立童心老人長期照顧中心(養護型),新北市,65000,汐止區,65000110,南陽街90巷14號,林淑容,(02)26940170,49,0,0,0
100,新北市私立安濟老人長期照顧中心(養護型),新北市,65000,汐止區,65000110,福德一路351巷11弄18號2樓,吳靜宜,(02)26951800,21,0,0,0
101,新北市私立百睿老人長期照顧中心(養護型),新北市,65000,汐止區,65000110,福德路38號10樓、10樓之1~10樓之7,郭國清,(02)86933112,46,0,0,0
102,新北市私立百齡家園老人長期照顧中心(養護型),新北市,65000,汐止區,65000110,福德路38號11樓、11樓之1、11樓之2、11樓之3、11樓之4、11樓之5、11樓之6、11樓之7,郭淑真,(02)86931606,46,0,0,0
103,新北市私立幸福家園老人長期照顧中心(養護型),新北市,65000,汐止區,65000110,福德路38號12樓、12樓之1、12樓之2、12樓之3、12樓之4、12樓之5、12樓之6,李倩穎,(02)26926777,42,0,0,0
104,新北市私立好家園老人長期照顧中心(養護型),新北市,65000,汐止區,65000110,福德路38號2樓、2樓之1,李質穎,(02)26926777,41,0,0,0
105,新北市私立新陽光老人長期照顧中心(養護型),新北市,65000,汐止區,65000110,福德路38號4樓、4樓之1,李建興,(02)26933978,49,0,0,0
106,新北市私立大漢老人長期照顧中心(養護型),新北市,65000,汐止區,65000110,福德路38號5樓之1,游寶美,(02)26932239,49,0,0,0
107,新北市私立銀泰老人長期照顧中心(養護型),新北市,65000,汐止區,65000110,福德路38號6樓之1、之2、之3、之4、之5、之6,呂筱媛,(02)26932918,49,0,0,0
108,新北市私立美麗家園老人長期照顧心(養護型),新北市,65000,汐止區,65000110,福德路38號7樓、7樓之1、7樓之2、7樓之3、7樓之4、7樓之5、7樓之6、7樓之7,潘扶適,(02)26934386,15,0,5,0
109,新北市私立天愛老人長期照顧中心(養護型),新北市,65000,汐止區,65000110,福德路38號8樓、8樓之1、8樓之2、8樓之3、8樓之4、8樓之5、8樓之6、8樓之7,王宇文,(02)26926111,48,0,0,0
110,新北市私立百寧老人長期照顧中心(養護型),新北市,65000,汐止區,65000110,福德路38號9樓、38號9樓之1、38號9樓之2、38號9樓之3、38號9樓之4、38號9樓之5、38號9樓之6、38號9樓之7,李福榮,(02)86931901,46,0,0,0
111,新北市私立東宜老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,大觀路2段159號之1、159號之2、159號之3,林秋紅,(02)22755050,40,0,0,0
112,新北市私立寶樺老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,大觀路3段201、201-1、201-2、201-3號,嚴貴華,(02)26820680,47,0,0,0
113,新北市私立康達老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,大觀路3段220巷22號2~6樓,張榮台,(02)26878791,47,0,0,0
114,新北市私立松和老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,大觀路3段236號7樓,李湛博,(02)26823334,46,0,0,0
115,新北市私立松樹老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,大觀路3段236號7樓之1,李怡禎,(02)26823337,47,0,0,0
116,新北市私立松林老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,大觀路3段236號7樓之2,李怡禎,(02)26824116,41,0,0,0
117,新北市私立春天老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,大觀路3段236號8樓,謝志強,(02)26841858,49,0,0,0
118,新北市私立祥寶老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,中山路1段206巷6號1樓-2樓,林哲弘,(02)29539299,48,0,0,0
119,新北市私立祥永老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,中山路1段206巷6號3樓,吳忠憲,(02)89535859,49,0,0,0
120,新北市私立祥好尊榮老人養護中心,新北市,65000,板橋區,65000010,中山路1段206巷6號4樓,陳俊豪,(02)29540868,48,0,0,0
121,新北市私立祥弘老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,中山路1段206巷6號5樓,林韋丞,(02)89533339,48,0,0,0
122,新北市私立連旺老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,中山路1段311號、313號、315之1號,連昭晴,(02)89520508,47,0,0,0
123,新北市私立桐心老人養護中心,新北市,65000,板橋區,65000010,中正路302號2樓,劉昱瓊,(02)29688657,42,0,0,0
124,新北市私立宏國老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,四川路2段16巷10號7樓,吳元耀,(02)89667037,49,0,0,0
125,新北市私立祥安居老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,四川路2段16巷1號10樓,李金祥,(02)89665598,44,0,0,0
126,新北市私立瑞昇老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,四川路2段16巷1號1樓,曾巫秀琴,(02)89675498,46,0,0,0
127,新北市私立慈徽老人養護中心,新北市,65000,板橋區,65000010,四川路2段16巷1號2樓,張鎮臺,(02)89665598,43,0,0,0
128,新北市私立陽光老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,四川路2段16巷1號5樓,李家均,(02)89665598,46,0,0,0
129,新北市私立皖美老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,四川路2段16巷1號8樓,張家銘,(02)89665598,47,0,0,0
130,新北市私立祥元尊榮老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,四川路2段16巷8號6樓,吳鈺婷,(02)89668658,44,0,0,0
131,新北市私立仁慈老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,四川路2段16巷8號6樓之1,簡佩均,(02)89668656,37,0,0,0
132,新北市私立仁福老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,四川路2段16巷8號6樓之2,許東豐,(02)89668657,49,0,0,0
133,新北市私立松園老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,四川路2段16巷8號7樓,吳昆松,(02)89665034,49,0,0,0
134,新北市私立鴻祥老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,四川路2段16巷9號8樓,陳柏安,(02)89675401,49,0,0,0
135,新北市私立仁民老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,陽明街61號、61號2樓、61號3樓、61號4樓、61號5樓、61號6樓、61號7樓,黃政義,(02)22587336,49,0,0,0
136,新北市私立迦蜜老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,廣權路10號2、3樓,范新鷺,(02)29511181,47,0,0,0
137,新北市私立重慶老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,廣權路10號4樓,林巧靜,(02)29648140,29,0,0,0
138,新北市私立慧心老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,廣權路2號2樓,朱傳恩,(02)29567230,28,0,0,0
139,新北市私立心田老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,廣權路2號3樓、6號3樓,朱瑜慈,(02)89511426,30,0,15,0
140,新北市私立廣福老人養護中心,新北市,65000,板橋區,65000010,廣權路2號4樓,楊閎升,(02)89514435,49,0,0,0
141,新北市私立廣權老人養護中心,新北市,65000,板橋區,65000010,廣權路2號5樓,王季柔,(02)89514435,31,0,0,0
142,新北市私立安佳老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,館前西路139號6樓,徐三華,(02)29688745,40,0,0,0
143,新北市私立迦順老人長期照顧中心(養護型),新北市,65000,板橋區,65000010,館前西路6號8樓,曾翠信,(02)29645889,49,0,0,0
144,新北市私立惟思老人養護中心,新北市,65000,林口區,65000170,三民路75號1樓,吳致融,(02)26000888,43,0,0,0
145,新北市私立夏雨老人長期照顧中心（長期照護型）,新北市,65000,林口區,65000170,三民路75號2樓,吳思漢,(02)26000888,0,0,41,0
146,新北市私立恆輝老人長期照顧中心(養護型),新北市,65000,泰山區,65000160,明志路1段122巷33號,李展權,(02)22962153,36,0,0,0
147,新北市私立泰山台欣老人長期照顧中心(養護型),新北市,65000,泰山區,65000160,明志路3段142巷8號8樓,黃成德,(02)29084800,48,0,0,0
148,新北市私立思親老人長期照顧中心(養護型),新北市,65000,淡水區,65000100,下圭柔山114之6號,陳韋強,(02)26211033,47,0,0,0
149,新北市私立思福老人長期照顧中心(養護型),新北市,65000,淡水區,65000100,下圭柔山114之7號,陳韋志,(02)26211033,45,0,0,0
150,新北市私立思源老人養護中心,新北市,65000,淡水區,65000100,下圭柔山114之8號,陳建慶,(02)26211033,44,0,0,0
151,新北市私立新明厚老人長期照顧中心(養護型),新北市,65000,淡水區,65000100,中正東路1段27號、27號2樓之1,孟昭平,(02)26297290,43,0,0,0
152,新北市私立富祥老人長期照顧中心(養護型),新北市,65000,淡水區,65000100,民生路47之4號5、6樓、47之5號4、5樓,陳思宇,(02)88093550,36,0,0,0
153,新北市私立崇惠老人長期照顧中心(養護型),新北市,65000,淡水區,65000100,坪頂路70巷27號,鍾秋月,(02)86268833,41,0,0,0
154,新北市私立模範老人養護中心,新北市,65000,新店區,65000060,中正路20號3樓、26號3樓,劉建梅,(02)29126188,44,0,0,0
155,新北市私立榮華老人長期照顧中心(養護型),新北市,65000,新店區,65000060,中正路24號5樓、28號5樓,王明,(02)29124106,42,0,0,0
156,新北市私立國泰老人長期照顧中心(養護型),新北市,65000,新店區,65000060,中正路284巷4弄1號、1號2樓、1號3樓,詹凱涵,(02)29125619,35,0,0,0
157,新北市私立匯安老人長期照顧中心(養護型),新北市,65000,新店區,65000060,中正路399巷7號1樓-4樓,廖麗如,(02)86656656,48,0,0,0
158,新北市私立莊敬老人長期照顧中心(養護型),新北市,65000,新店區,65000060,中正路521巷1號3樓、3號3樓,石朝元,(02)22185571,40,0,0,0
159,新北市私立溫昕老人長期照顧中心(養護型),新北市,65000,新店區,65000060,中正路539之3號2樓,陳琪銘,(02)22190258,39,0,0,0
160,財團法人私立廣恩老人養護中心,新北市,65000,新店區,65000060,北宜路2段579巷45號,林偉峰,(02)22173517,133,0,0,0
161,新北市私立新家老人長期照顧中心(養護型),新北市,65000,新店區,65000060,民生路13號4樓,何俊穎,(02)22180877,24,0,0,0
162,新北市私立康泰老人長期照顧中心(養護型),新北市,65000,新店區,65000060,民生路15號3樓,林瑞明,(02)22181535,47,0,0,0
163,新北市私立溫馨老人長期照顧中心(養護型),新北市,65000,新店區,65000060,民權路147號4樓,郭仙瓊,(02)82187408,45,0,0,0
164,新北市私立亞洲老人長期照顧中心(養護型),新北市,65000,新店區,65000060,民權路42巷59弄2號2樓,陳隆鴻,(02)86671476,26,0,0,0
165,新北市私立亞恩老人長期照顧中心(養護型),新北市,65000,新店區,65000060,民權路42巷59弄2號5樓,劉志榮,(02)89146536,26,0,0,0
166,新北市私立大坪林老人長期照顧中心(養護型),新北市,65000,新店區,65000060,民權路58號5樓、60號5樓,羅德蘭,(02)29111377,47,0,0,0
167,新北市私立皇冠老人養護中心,新北市,65000,新店區,65000060,民權路60號4樓,黃伯超,(02)29125488,47,0,0,0
168,新北市私立民權老人長期照顧中心(長期照護型),新北市,65000,新店區,65000060,民權路88之1號2樓,丘豐英,(02)86671476,0,0,16,0
169,新北市私立日祥老人養護中心,新北市,65000,新店區,65000060,百忍街38號,宋德秋,(02)86659609,21,0,0,0
170,新北市私立承新老人長期照顧中心(養護型),新北市,65000,新店區,65000060,百忍街38號2樓、3樓、40號2樓、3樓,孫國玉,(02)86653731,45,0,0,0
171,新北市私立匯福老人長期照顧中心(養護型),新北市,65000,新店區,65000060,竹林路99號1樓-4樓,廖麗如,(02)22178035,48,0,0,0
172,新北市私立東海老人長期照顧中心(養護型),新北市,65000,新店區,65000060,寶興路37號4樓,王國強,(02)29143333,38,0,0,0
173,新北市私立南山老人長期照顧中心(養護型),新北市,65000,新店區,65000060,寶興路37號5樓,蔡領珠,(02)29125070,49,0,0,0
174,新北市私立新中老人長期照顧中心(養護型),新北市,65000,新莊區,65000050,中正路316號5樓,陳垂彥,(02)29938702,41,0,0,0
175,新北市私立長恩老人長期照顧中心(養護型),新北市,65000,新莊區,65000050,中正路393號4樓,吳待芬,(02)22013158,49,0,0,0
176,新北市私立智英老人長期照護中心,新北市,65000,新莊區,65000050,中正路544-36號1樓,劉江裕,(02)29085498,0,0,25,0
177,新北市私立中英老人養護中心,新北市,65000,新莊區,65000050,中正路544-36號2樓,梁惠倫,(02)29085498,45,0,0,0
178,新北市私立傅英老人長期照顧中心(養護型),新北市,65000,新莊區,65000050,中正路544-36號3樓,張鎮育,(02)29085498,45,0,0,0
179,新北市私立仁英老人養護中心,新北市,65000,新莊區,65000050,中正路544-36號4樓,吳霈綺,(02)29085498,45,0,0,0
180,新北市私立佳興老人長期照顧中心(養護型),新北市,65000,新莊區,65000050,公園路226號2樓,黃薏蓁,(02)89920004,21,0,0,0
181,新北市私立珍珍老人長期照顧中心(養護型),新北市,65000,新莊區,65000050,化成路354號3樓,吳馥珍,(02)29981530,31,0,0,0
182,新北市私立永瑞老人長期照顧中心(養護型),新北市,65000,新莊區,65000050,化成路354號4樓,李瑞昌,(02)29941223,31,0,0,0
183,新北市私立景馨老人長期照顧中心(養護型),新北市,65000,新莊區,65000050,化成路63巷41號3樓,陳素琦,(02)89921892,29,0,0,0
184,新北市私立家安老人長期照顧中心(養護型),新北市,65000,新莊區,65000050,思源路117號(2層)、119號、119號2樓、121號2樓、123號2樓,王宇文,(02)89920125,49,0,0,0
